Customer_ID,Address_ID,Contact_ID,First_Name,Last_Name,DOB,Passport_No,Gender,Addr_Line_1,Addr_Line_2,City,State,Zip_Code,Country,Email,Phone_Number
AGY-C-9000,AGY-A-9000,AGY-T-9000,JOHN,DOE,1980-05-15,P12 34567,M,123 MAPLE ST,APT 4B,NEW YORK,NY,10001,US,JOHN.DOE@EMAIL.COM,212-555-1234
AGY-C-9001,AGY-A-9001,AGY-T-9001,ALICE,SMITH,1990-08-22,A98 76543,F,456 OAK AVE,,LOS ANGELES,CA,90001,US,ALICE.S@EMAIL.COM,213-555-9876
AGY-C-9002,AGY-A-9002,AGY-T-9002,ROBERT,JOHNSON,1975-11-30,R55 56667,M,789 PINE RD,SUITE 100,CHICAGO,IL,60601,US,ROBERTJ@EMAIL.COM,312-555-4321
AGY-C-9003,AGY-A-9003,AGY-T-9003,EMILY,DAVIS,1988-03-14,E11 22334,F,321 CEDAR LN,,HOUSTON,TX,77001,US,EDAVIS88@EMAIL.COM,713-555-8765
AGY-C-9004,AGY-A-9004,AGY-T-9004,MICHAEL,BROWN,1992-07-09,M99 88776,M,654 BIRCH BLVD,,PHOENIX,AZ,85001,US,MBROWN@EMAIL.COM,602-555-3456
AGY-C-9005,AGY-A-9005,AGY-T-9005,SARAH,WILSON,1985-12-01,S44 55667,F,987 WALNUT ST,APT 12,PHILADELPHIA,PA,19101,US,SARAH.WILSON@EMAIL.COM,215-555-6543
AGY-C-9006,AGY-A-9006,AGY-T-9006,KAREN,ROBINSON,1985-08-06,G72 35648,F,9092 HIGH ST,,DALLAS,TX,57111,US,KAREN.ROBINSON67@EMAIL.COM,401-965-9911
AGY-C-9007,AGY-A-9007,AGY-T-9007,SUSAN,MARTIN,1983-12-05,G75 59526,F,8436 LAKE VIEW,SUITE 211,JACKSONVILLE,FL,89149,US,SUSAN.MARTIN64@EMAIL.COM,637-846-5240
AGY-C-9008,AGY-A-9008,AGY-T-9008,NANCY,CLARK,1996-04-05,Z74 40858,F,634 LAKE VIEW,SUITE 564,COLUMBUS,OH,86643,US,NANCY.CLARK61@EMAIL.COM,923-231-6670
AGY-C-9009,AGY-A-9009,AGY-T-9009,WILLIAM,HARRIS,1979-09-04,F60 12024,M,4358 LAKE VIEW,SUITE 623,JACKSONVILLE,FL,28748,US,WILLIAM.HARRIS26@EMAIL.COM,977-958-4372
AGY-C-9010,AGY-A-9010,AGY-T-9010,DANIEL,CLARK,1974-05-24,F62 47841,M,3278 MAIN ST,,DALLAS,TX,45536,US,DANIEL.CLARK15@EMAIL.COM,12345
AGY-C-9011,AGY-A-9011,AGY-T-9011,CHARLES,MARTIN,1969-08-27,Q93 64616,M,2213 HILL RD,SUITE 294,DALLAS,TX,73946,US,missing_domain@.com,254-484-9259
AGY-C-9012,AGY-A-9012,AGY-T-9012,JOSEPH,WHITE,1993-05-23,X96 51014,M,6624 LAKE VIEW,,JACKSONVILLE,FL,55747,US,JOSEPH.WHITE34@EMAIL.COM,NONE
AGY-C-9013,AGY-A-9013,AGY-T-9013,JOSEPH,THOMPSON,1989-12-24,E50 63243,M,8843 LAKE VIEW,SUITE 824,SAN JOSE,CA,56800,US,just_a_string,696-235-2161
AGY-C-9014,AGY-A-9014,AGY-T-9014,ANTHONY,ROBINSON,1985-12-08,G29 98038,M,7529 HIGH ST,SUITE 611,SAN JOSE,CA,25427,US,ANTHONY.ROBINSON94@EMAIL.COM,457-535-9105
AGY-C-9015,AGY-A-9015,AGY-T-9015,BARBARA,HARRIS,1992-04-17,L77 64377,F,3703 MAIN ST,,DALLAS,TX,21028,US,BARBARA.HARRIS71@EMAIL.COM,548-567-7630
AGY-C-9016,AGY-A-9016,AGY-T-9016,ELIZABETH,WHITE,1976-03-20,J35 89609,F,231 HIGH ST,APT 5,COLUMBUS,OH,86330,US,ELIZABETH.WHITE76@EMAIL.COM,225-519-6867
AGY-C-9017,AGY-A-9017,AGY-T-9017,PATRICIA,CLARK,1993-08-01,E49 57962,F,5734 HILL RD,SUITE 267,AUSTIN,TX,72684,US,PATRICIA.CLARK59@EMAIL.COM,594-323-2240
AGY-C-9018,AGY-A-9018,AGY-T-9018,RICHARD,MARTIN,1968-02-01,D84 82585,M,9034 HILL RD,APT 54,COLUMBUS,OH,26180,US,RICHARD.MARTIN39@EMAIL.COM,364-830-2090
AGY-C-9019,AGY-A-9019,AGY-T-9019,ELIZABETH,WHITE,1991-07-24,S82 44835,F,142 HILL RD,,COLUMBUS,OH,56659,US,ELIZABETH.WHITE18@EMAIL.COM,318-600-8137
