Customer_ID,Address_ID,Contact_ID,First_Name,Last_Name,DOB,Passport_No,Gender,Addr_Line_1,Addr_Line_2,City,State,Zip_Code,Country,Email,Phone_Number
PRT-C-5500,PRT-A-5500,PRT-T-5500,Thomas,Robinson,1984-07-18,H/885/8969,M,184 High St,Suite 141,Austin,TX,87551,US,thomas.robinson86@email.com,7789071919
PRT-C-5501,PRT-A-5501,PRT-T-5501,Joseph,Clark,1960-04-04,C/132/5596,M,1320 High St,Apt 39,San Jose,CA,15585,US,joseph.clark58@email.com,5058635333
PRT-C-5502,PRT-A-5502,PRT-T-5502,Nancy,Jackson,1988-10-24,T/573/2875,F,9786 Hill Rd,,Austin,TX,20137,US,nancy.jackson22@email.com,3944331636
PRT-C-5503,PRT-A-5503,PRT-T-5503,Jon,Davis,1988-03-14,E/112/2334,F,321 Cedar Ln,,Houston,TX,77001,US,edavis88@email.com,7135558765
PRT-C-5504,PRT-A-5504,PRT-T-5504,Alyce,Brown,1992-07-09,M/998/8776,M,654 Birch Blvd,,Phoenix,AZ,85001,US,mbrown@email.com,6025553456
PRT-C-5505,PRT-A-5505,PRT-T-5505,Sarah,Wilson,1985-12-01,S/445/5667,F,987 Walnut St,Apt 12,Philadelphia,PA,19101,US,sarah.wilson@email.com,2155556543
PRT-C-5506,PRT-A-5506,PRT-T-5506,David,Martinez,1978-09-18,D/776/6554,M,147 Cherry Ct,,San Antonio,TX,78201,US,dmartinez@email.com,2105557890
PRT-C-5507,PRT-A-5507,PRT-T-5507,Jennifer,Anderson,1995-04-25,J/334/4556,F,258 Elm St,Unit A,San Diego,CA,92101,US,jenn.anderson@email.com,6195550987
PRT-C-5508,PRT-A-5508,PRT-T-5508,Joseph,Jackson,1967-02-21,I/778/0057,M,9005 Hill Rd,Suite 400,Jacksonville,FL,23960,US,joseph.jackson46@email.com,6578957306
PRT-C-5509,PRT-A-5509,PRT-T-5509,Joseph,Martin,1968-12-28,Q/859/1303,M,495 River Blvd,Apt 94,San Jose,CA,62826,US,joseph.martin7@email.com,7773842232
PRT-C-5510,PRT-A-5510,PRT-T-5510,Anthony,Harris,1979-02-17,E/366/6363,M,4855 High St,,Dallas,TX,41666,US,anthony.harris54@email.com,000
PRT-C-5511,PRT-A-5511,PRT-T-5511,Susan,Thompson,1991-02-13,P/266/9423,F,8061 High St,,San Jose,CA,58762,US,@missingprefix.com,6782253072
PRT-C-5512,PRT-A-5512,PRT-T-5512,Karen,Garcia,1992-06-21,Z/407/6227,F,887 River Blvd,Apt 41,Jacksonville,FL,61526,US,karen.garcia85@email.com,(800) NO-PHONE
PRT-C-5513,PRT-A-5513,PRT-T-5513,Charles,Jackson,1973-09-26,O/798/3585,M,374 Main St,Suite 673,Jacksonville,FL,43290,US,charles.jackson61@email.com,
PRT-C-5514,PRT-A-5514,PRT-T-5514,Joseph,Jackson,1968-09-08,L/808/5258,M,2452 Park Ave,,Jacksonville,FL,75974,US,joseph.jackson58@email.com,9473846760
PRT-C-5515,PRT-A-5515,PRT-T-5515,Nancy,Thompson,1983-12-23,R/994/8646,X,1108 Park Ave,,Austin,TX,50740,US,nancy.thompson59@email.com,8289603766
PRT-C-5516,PRT-A-5516,PRT-T-5516,William,White,1974-09-14,W/268/4195,M,8011 Hill Rd,Suite 216,Jacksonville,FL,38642,US,william.white7@email.com,3552809059
PRT-C-5517,PRT-A-5517,PRT-T-5517,Thomas,Robinson,1969-01-24,A/848/6114,M,8465 Park Ave,Apt 30,Austin,TX,19654,US,thomas.robinson94@email.com,2108513890
PRT-C-5518,PRT-A-5518,PRT-T-5518,Richard,Clark,1997-07-19,J/563/7779,M,6902 Lake View,,San Jose,CA,80739,US,richard.clark82@email.com,5377153888
PRT-C-5519,PRT-A-5519,PRT-T-5519,Barbara,Clark,1994-12-14,U/656/8894,F,4498 Hill Rd,Suite 501,Austin,TX,32880,US,barbara.clark87@email.com,7903031667
